Euring	Sortering	Artnavn	Latin	English	Status	Type
2250	10	Amerikansk Skarveand	Oxyura jamaicensis	Ruddy Duck	CU	art
2260	15	Hvidhovedet Skarveand	Oxyura leucocephala	White-headed Duck	AU	art
1525	20	Sortsvane	Cygnus atratus	Black Swan	C	art
1526	25	Sorthalset Svane	Cygnus melancoryphus	Black-necked Swan	E	art
1520	30	Knopsvane	Cygnus olor	Mute Swan	A	art
1530	40	Pibesvane	Cygnus columbianus	Tundra Swan	A	art
1540	50	Sangsvane	Cygnus cygnus	Whooper Swan	A	art
1680	100	Knortegås	Branta bernicla	Brant Goose	A	art
1670	150	Bramgås	Branta leucopsis	Barnacle Goose	A	art
1690	180	Rødhalset Gås	Branta ruficollis	Red-breasted Goose	AS	art
1665	210	Dværgcanadagås	Branta hutchinsii	Cackling Goose	E	art
1660	220	Canadagås	Branta canadensis	Canada Goose	C	art
1630	250	Snegås	Anser caerulescens	Snow Goose	D	art
1640	270	Dværgsnegås	Anser rossii	Ross's Goose	AU	art
1650	275	Kejsergås	Anser canagicus	Emperor Goose	E	art
1620	280	Indisk Gås	Anser indicus	Bar-headed Goose	C	art
1580	310	Kortnæbbet Gås	Anser brachyrhynchus	Pink-footed Goose	A	art
1610	320	Grågås	Anser anser	Greylag Goose	A	art
1560	345	Svanegås	Anser cygnoides	Swan Goose	E	art
1571	360	Tajgasædgås	Anser fabalis	Taiga Bean Goose	A	art
1574	370	Tundrasædgås	Anser serrirostris	Tundra Bean Goose	A	art
1590	390	Blisgås	Anser albifrons	Greater White-fronted Goose	A	art
1600	420	Dværggås	Anser erythropus	Lesser White-fronted Goose	AS	art
2120	440	Havlit	Clangula hyemalis	Long-tailed Duck	A	art
2070	450	Kongeederfugl	Somateria spectabilis	King Eider	AS	art
2060	470	Ederfugl	Somateria mollissima	Common Eider	A	art
2090	490	Stellersand	Polysticta stelleri	Steller's Eider	AU	art
2140	500	Brilleand	Melanitta perspicillata	Surf Scoter	AS	art
2150	510	Fløjlsand	Melanitta fusca	Velvet Scoter	A	art
2152	520	Asiatisk Fløjlsand	Melanitta stejnegeri	Stejneger's Scoter	AU	art
2153	530	Amerikansk Fløjlsand	Melanitta deglandi	White-winged Scoter	AU	art
2130	540	Sortand	Melanitta nigra	Common Scoter	A	art
2132	550	Amerikansk Sortand	Melanitta americana	Black Scoter	AS	art
2160	560	Bøffeland	Bucephala albeola	Bufflehead	DU	art
2180	570	Hvinand	Bucephala clangula	Common Goldeneye	A	art
2200	590	Lille Skallesluger	Mergellus albellus	Smew	A	art
2190	600	Hjelmskallesluger	Lophodytes cucullatus	Hooded Merganser	DU	art
2230	610	Stor Skallesluger	Mergus merganser	Common Merganser	A	art
2210	620	Toppet Skallesluger	Mergus serrator	Red-breasted Merganser	A	art
1700	670	Nilgås	Alopochen aegyptiaca	Egyptian Goose	C	art
1695	680	Magellangås	Chloephaga picta	Upland Goose	E	art
1730	700	Gravand	Tadorna tadorna	Common Shelduck	A	art
1710	710	Rustand	Tadorna ferruginea	Ruddy Shelduck	A	art
1750	730	Moskusand	Cairina moschata	Muscovy Duck	E	art
1950	740	Marmorand	Marmaronetta angustirostris	Marbled Duck	EU	art
1960	750	Rødhovedet And	Netta rufina	Red-crested Pochard	AS	art
1980	770	Taffeland	Aythya ferina	Common Pochard	A	art
2020	790	Hvidøjet And	Aythya nyroca	Ferruginous Duck	AS	art
2000	810	Halsbåndstroldand	Aythya collaris	Ring-necked Duck	AU	art
2030	830	Troldand	Aythya fuligula	Tufted Duck	A	art
2040	860	Bjergand	Aythya marila	Greater Scaup	A	art
2050	870	Lille Bjergand	Aythya affinis	Lesser Scaup	AU	art
1910	910	Atlingand	Spatula querquedula	Garganey	A	art
1940	920	Skeand	Spatula clypeata	Northern Shoveler	A	art
1920	970	Blåvinget And	Spatula discors	Blue-winged Teal	AU	art
1930	980	Kaneland	Spatula cyanoptera	Cinnamon Teal	E	art
1830	990	Sibirisk Krikand	Sibirionetta formosa	Baikal Teal	AU	art
1810	1000	Segland	Mareca falcata	Falcated Duck	E	art
1820	1010	Knarand	Mareca strepera	Gadwall	A	art
1790	1020	Pibeand	Mareca penelope	Eurasian Wigeon	A	art
25800	1035	Chilepibeand	Mareca sibilatrix	Chiloe Wigeon	E	art
1800	1060	Amerikansk Pibeand	Mareca americana	American Wigeon	AU	art
1860	1080	Gråand	Anas platyrhynchos	Mallard	A	art
1890	1120	Spidsand	Anas acuta	Northern Pintail	A	art
1840	1140	Krikand	Anas crecca	Eurasian Teal	A	art
1845	1170	Amerikansk Krikand	Anas carolinensis	Green-winged Teal	AS	art
1780	1180	Mandarinand	Aix galericulata	Mandarin Duck	C	art
1770	1190	Brudeand	Aix sponsa	Wood Duck	E	art
3700	1200	Vagtel	Coturnix coturnix	Common Quail	A	art
3550	1220	Chukarhøne	Alectoris chukar	Chukar Partridge	E	art
3580	1230	Rødhøne	Alectoris rufa	Red-legged Partridge	E	art
3930	1240	Kongefasan	Syrmaticus reevesii	Reeves's Pheasant	E	art
3960	1250	Guldfasan	Chrysolophus pictus	Golden Pheasant	E	art
3940	1260	Fasan	Phasianus colchicus	Common Pheasant	C	art
35670	1270	Påfugl	Pavo cristatus	Indian Peafowl	E	art
3350	1280	Tjur	Tetrao urogallus	Western Capercaillie	E	art
3320	1290	Urfugl	Lyrurus tetrix	Black Grouse	AU	art
3670	1300	Agerhøne	Perdix perdix	Grey Partridge	A	art
1472	1310	Stor Flamingo	Phoenicopterus roseus	Greater Flamingo	DU	art
1471	1320	Cariberflamingo	Phoenicopterus ruber	American Flamingo	E	art
1475	1340	Chileflamingo	Phoenicopterus chilensis	Chilean Flamingo	E	art
